
=== site_unbalance — example wafers [1] — metric 'site_unbalance' ===
  z=  +6.72 (wafer 1)  base_mu= +0.1532  base_sigma=  0.0445  key=11080#CP  label=11080_Main.subflow2.Flow2_Suite26#CP
  z=  +6.66 (wafer 1)  base_mu= +0.1746  base_sigma=  0.0436  key=6020#CP  label=6020_Main.subflow1.Flow1_Suite273#CP
  z=  +5.65 (wafer 1)  base_mu= +0.1581  base_sigma=  0.0566  key=4760#CP  label=4760_Main.subflow1.Flow1_Suite210#CP
  z=  +5.49 (wafer 1)  base_mu= +0.1868  base_sigma=  0.0640  key=5300#CP  label=5300_Main.subflow1.Flow1_Suite237#CP
  z=  +5.33 (wafer 1)  base_mu= +0.1813  base_sigma=  0.0560  key=5720#CP  label=5720_Main.subflow1.Flow1_Suite258#CP
  z=  +5.24 (wafer 1)  base_mu= +0.1503  base_sigma=  0.0487  key=35440#CP  label=35440_Main.subflow4.Flow4_Suite244#CP
  z=  +5.24 (wafer 1)  base_mu= +0.1615  base_sigma=  0.0516  key=4820#CP  label=4820_Main.subflow1.Flow1_Suite213#CP
  z=  +5.18 (wafer 1)  base_mu= +0.1818  base_sigma=  0.0555  key=5380#CP  label=5380_Main.subflow1.Flow1_Suite241#CP
  z=  +5.16 (wafer 1)  base_mu= +0.1737  base_sigma=  0.0556  key=5480#CP  label=5480_Main.subflow1.Flow1_Suite246#CP
  z=  +5.07 (wafer 1)  base_mu= +0.1326  base_sigma=  0.0615  key=1080#CP  label=1080_Main.subflow1.Flow1_Suite26#CP
  z=  +4.98 (wafer 1)  base_mu= +0.1551  base_sigma=  0.0601  key=1800#CP  label=1800_Main.subflow1.Flow1_Suite62#CP
  z=  +4.87 (wafer 1)  base_mu= +0.1535  base_sigma=  0.0537  key=34820#CP  label=34820_Main.subflow4.Flow4_Suite213#CP
  z=  +4.80 (wafer 1)  base_mu= +0.1844  base_sigma=  0.0508  key=1060#CP  label=1060_Main.subflow1.Flow1_Suite25#CP
  z=  +4.72 (wafer 1)  base_mu= +0.1599  base_sigma=  0.0573  key=4960#CP  label=4960_Main.subflow1.Flow1_Suite220#CP
  z=  +4.70 (wafer 1)  base_mu= +0.1506  base_sigma=  0.0629  key=5340#CP  label=5340_Main.subflow1.Flow1_Suite239#CP
  z=  +4.69 (wafer 1)  base_mu= +0.1379  base_sigma=  0.0661  key=16480#CP  label=16480_Main.subflow2.Flow2_Suite296#CP
  z=  +4.68 (wafer 1)  base_mu= +0.1584  base_sigma=  0.0662  key=4800#CP  label=4800_Main.subflow1.Flow1_Suite212#CP
  z=  +4.68 (wafer 1)  base_mu= +0.1485  base_sigma=  0.0494  key=24940#CP  label=24940_Main.subflow3.Flow3_Suite219#CP
  z=  +4.62 (wafer 1)  base_mu= +0.1809  base_sigma=  0.0555  key=5520#CP  label=5520_Main.subflow1.Flow1_Suite248#CP
  z=  +4.61 (wafer 1)  base_mu= +0.1848  base_sigma=  0.0564  key=5700#CP  label=5700_Main.subflow1.Flow1_Suite257#CP
  z=  +4.42 (wafer 1)  base_mu= +0.1364  base_sigma=  0.0645  key=6200#CP  label=6200_Main.subflow1.Flow1_Suite282#CP
  z=  +4.41 (wafer 1)  base_mu= +0.1733  base_sigma=  0.0549  key=49540#CP  label=49540_Main.subflow5.Flow5_Suite449#CP
  z=  +4.38 (wafer 1)  base_mu= +0.1863  base_sigma=  0.0565  key=4860#CP  label=4860_Main.subflow1.Flow1_Suite215#CP
  z=  +4.31 (wafer 1)  base_mu= +0.1871  base_sigma=  0.0652  key=5880#CP  label=5880_Main.subflow1.Flow1_Suite266#CP
  z=  +4.28 (wafer 1)  base_mu= +0.1721  base_sigma=  0.0642  key=23600#CP  label=23600_Main.subflow3.Flow3_Suite152#CP
  z=  +4.24 (wafer 1)  base_mu= +0.2030  base_sigma=  0.0625  key=6340#CP  label=6340_Main.subflow1.Flow1_Suite289#CP
  z=  +4.22 (wafer 1)  base_mu= +0.1688  base_sigma=  0.0610  key=6460#CP  label=6460_Main.subflow1.Flow1_Suite295#CP
  z=  +4.20 (wafer 1)  base_mu= +0.1492  base_sigma=  0.0539  key=45200#CP  label=45200_Main.subflow5.Flow5_Suite232#CP
  z=  +4.16 (wafer 1)  base_mu= +0.1507  base_sigma=  0.0557  key=21620#CP  label=21620_Main.subflow3.Flow3_Suite53#CP
  z=  +4.13 (wafer 1)  base_mu= +0.1756  base_sigma=  0.0538  key=5060#CP  label=5060_Main.subflow1.Flow1_Suite225#CP

=== low_yield — example wafers [3, 9] — metric 'oos_rate' ===
